YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2023,1,1,5.0,28.4,23.0,92
2023,1,2,0.0,31.3,24.3,76
2023,1,3,0.0,32.2,24.5,67
2023,1,4,0.0,31.0,23.3,61
2023,1,5,-1.0,32.8,25.3,60
2023,1,6,-1.0,31.0,22.5,70
2023,1,7,0.0,31.4,20.1,61
2023,1,8,0.0,31.7,19.4,60
2023,1,9,0.0,30.1,19.0,66
2023,1,10,0.0,30.8,21.3,70
2023,1,11,0.0,30.4,19.7,73
2023,1,12,0.0,30.0,20.6,73
2023,1,13,0.0,29.5,20.9,80
2023,1,14,0.0,29.6,21.0,78
2023,1,15,0.0,30.4,23.2,75
2023,1,16,0.0,27.3,24.0,75
2023,1,17,0.0,32.3,24.0,61
2023,1,18,0.0,32.3,23.2,61
2023,1,19,0.0,33.8,20.5,62
2023,1,20,0.0,33.1,22.0,58
2023,1,21,0.0,32.2,21.0,58
2023,1,22,0.0,30.8,21.3,77
2023,1,23,0.0,29.8,24.0,78
2023,1,24,0.0,28.4,20.9,66
2023,1,25,0.0,29.6,16.8,58
2023,1,26,0.0,30.7,18.9,69
2023,1,27,0.0,28.2,21.7,67
2023,1,28,0.0,27.9,21.7,59
2023,1,29,0.0,28.0,22.1,60
2023,1,30,0.0,31.3,18.8,59
2023,1,31,0.0,30.8,20.8,67
2023,2,1,0.0,30.0,21.2,70
2023,2,2,0.0,31.0,21.2,74
2023,2,3,0.0,31.6,20.0,71
2023,2,4,0.0,30.1,19.4,75
2023,2,5,0.0,29.6,20.5,78
2023,2,6,0.0,30.1,23.0,80
2023,2,7,0.0,30.4,23.2,83
2023,2,8,0.0,31.8,20.8,83
2023,2,9,0.0,30.0,21.2,78
2023,2,10,0.0,29.5,21.2,80
2023,2,11,0.0,30.6,21.3,80
2023,2,12,0.0,30.0,20.5,83
2023,2,13,0.0,29.4,19.6,83
2023,2,14,0.0,32.0,22.2,68
2023,2,15,0.0,28.9,22.2,70
2023,2,16,0.0,31.0,17.2,58
2023,2,17,0.0,33.4,21.4,71
2023,2,18,0.0,32.1,22.4,59
2023,2,19,0.0,31.5,24.0,77
2023,2,20,0.0,28.8,22.9,69
2023,2,21,0.0,26.5,22.9,68
2023,2,22,0.0,28.0,22.8,75
2023,2,23,-1.0,27.0,23.2,88
2023,2,24,0.0,28.1,23.7,82
2023,2,25,0.0,27.8,24.2,71
2023,2,26,0.0,31.8,22.3,54
2023,2,27,0.0,32.0,17.4,55
2023,2,28,0.0,30.1,18.8,61
2023,3,1,0.0,31.4,20.4,66
2023,3,2,0.0,33.6,22.6,59
2023,3,3,0.0,31.3,22.1,61
2023,3,4,0.0,31.0,19.4,56
2023,3,5,0.0,31.6,18.0,53
2023,3,6,0.0,31.6,17.6,53
2023,3,7,0.0,29.6,18.6,59
2023,3,8,0.0,30.4,19.1,65
2023,3,9,0.0,29.6,20.4,68
2023,3,10,0.0,32.0,19.2,63
2023,3,11,0.0,30.2,19.4,65
2023,3,12,0.0,30.4,22.6,66
2023,3,13,0.0,32.1,19.2,55
2023,3,14,0.0,30.4,20.9,66
2023,3,15,0.0,30.2,21.4,70
2023,3,16,0.0,32.6,22.2,66
2023,3,17,0.0,30.4,22.2,75
2023,3,18,0.0,30.6,22.3,77
2023,3,19,0.0,31.2,23.2,77
2023,3,20,0.0,30.4,21.6,78
2023,3,21,0.0,30.8,21.3,71
2023,3,22,0.0,30.4,22.6,76
2023,3,23,0.0,31.2,23.4,77
2023,3,24,0.0,31.8,24.3,78
2023,3,25,0.0,31.7,23.7,79
2023,3,26,0.0,31.6,24.2,77
2023,3,27,0.0,32.4,24.0,71
2023,3,28,0.0,32.4,24.0,67
2023,3,29,0.0,32.2,24.0,77
2023,3,30,0.0,31.6,24.8,78
2023,3,31,0.0,31.5,23.2,79
2023,4,1,0.0,31.8,22.3,73
2023,4,2,0.0,32.2,23.8,65
2023,4,3,0.0,31.8,23.8,71
2023,4,4,0.0,31.8,23.6,74
2023,4,5,0.0,32.2,23.2,70
2023,4,6,0.0,32.2,21.0,72
2023,4,7,0.0,31.4,25.8,69
2023,4,8,0.0,35.2,22.1,58
2023,4,9,0.0,32.7,22.0,63
2023,4,10,0.0,32.1,23.0,68
2023,4,11,0.0,31.9,23.3,69
2023,4,12,0.0,34.4,25.2,73
2023,4,13,0.0,34.2,25.8,76
2023,4,14,-1.0,32.2,27.4,76
2023,4,15,-1.0,32.1,26.4,79
2023,4,16,0.0,32.0,24.9,75
2023,4,17,0.0,32.6,24.5,74
2023,4,18,0.0,32.3,26.2,76
2023,4,19,0.0,33.1,25.2,77
2023,4,20,-1.0,32.8,26.2,78
2023,4,21,0.0,33.8,24.8,77
2023,4,22,0.0,33.8,24.4,73
2023,4,23,0.0,34.0,23.8,69
2023,4,24,0.0,33.8,24.0,61
2023,4,25,0.0,33.0,24.8,62
2023,4,26,0.0,34.6,24.8,62
2023,4,27,0.0,32.9,24.9,64
2023,4,28,0.0,33.4,25.2,68
2023,4,29,0.0,33.0,24.9,79
2023,4,30,0.0,32.8,25.1,76
2023,5,1,0.0,34.9,25.4,69
2023,5,2,0.0,33.7,24.5,66
2023,5,3,0.0,34.2,24.8,67
2023,5,4,0.0,33.1,26.2,74
2023,5,5,0.0,33.2,26.3,75
2023,5,6,0.0,34.4,26.2,75
2023,5,7,0.0,33.7,27.3,72
2023,5,8,0.0,34.6,26.5,70
2023,5,9,0.0,34.4,26.1,64
2023,5,10,0.0,34.6,25.7,66
2023,5,11,0.0,33.4,25.4,69
2023,5,12,0.0,33.6,25.5,66
2023,5,13,0.0,33.4,24.9,72
2023,5,14,0.0,33.4,25.7,71
2023,5,15,-1.0,34.0,26.5,73
2023,5,16,8.5,33.6,27.4,77
2023,5,17,0.0,33.1,25.6,76
2023,5,18,0.0,34.2,26.5,73
2023,5,19,-1.0,34.2,26.2,74
2023,5,20,0.0,34.3,27.4,69
2023,5,21,-1.0,33.8,27.0,75
2023,5,22,-1.0,33.3,26.2,74
2023,5,23,7.2,33.9,25.2,79
2023,5,24,0.0,33.8,26.1,76
2023,5,25,0.0,34.3,26.4,73
2023,5,26,0.0,35.6,25.0,69
2023,5,27,0.0,35.6,26.0,54
2023,5,28,2.2,32.8,26.6,73
2023,5,29,2.3,32.4,28.6,78
