YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2021,1,1,0.0,29.4,18.4,65
2021,1,2,0.0,31.5,20.0,66
2021,1,3,0.0,34.7,24.0,65
2021,1,4,0.0,34.4,21.5,63
2021,1,5,0.0,30.2,23.6,78
2021,1,6,0.0,31.3,22.0,72
2021,1,7,0.0,30.2,22.3,74
2021,1,8,0.0,27.3,21.0,72
2021,1,9,0.0,27.3,20.6,66
2021,1,10,0.0,30.1,17.0,60
2021,1,11,0.0,28.6,21.0,63
2021,1,12,0.0,25.4,16.8,75
2021,1,13,0.0,28.9,20.2,72
2021,1,14,0.0,29.4,21.7,73
2021,1,15,0.0,29.2,22.3,73
2021,1,16,0.0,32.2,21.0,60
2021,1,17,0.0,26.6,22.4,74
2021,1,18,0.0,29.0,24.3,61
2021,1,19,0.0,33.2,23.5,59
2021,1,20,-1.0,34.5,25.1,64
2021,1,21,10.4,31.7,24.5,82
2021,1,22,9.7,29.0,24.0,88
2021,1,23,5.7,25.5,24.1,90
2021,1,24,0.0,32.1,22.5,74
2021,1,25,0.0,31.6,23.6,74
2021,1,26,0.0,30.8,21.2,74
2021,1,27,0.0,31.6,22.0,73
2021,1,28,0.0,32.0,19.2,66
2021,1,29,0.0,30.6,17.6,64
2021,1,30,0.0,28.6,17.6,56
2021,1,31,0.0,29.3,17.7,65
2021,2,1,0.0,29.8,18.0,70
2021,2,2,0.0,29.2,21.3,71
2021,2,3,0.0,30.6,18.8,62
2021,2,4,0.0,30.8,18.6,68
2021,2,5,0.0,31.0,20.0,69
2021,2,6,0.0,30.0,21.5,72
2021,2,7,-1.0,32.0,23.1,73
2021,2,8,0.0,33.8,24.5,65
2021,2,9,0.0,32.0,24.4,58
2021,2,10,-1.0,31.8,23.7,73
2021,2,11,2.9,28.6,22.0,81
2021,2,12,0.0,25.8,19.7,78
2021,2,13,0.0,29.5,20.3,72
2021,2,14,0.0,28.6,19.4,74
2021,2,15,0.0,29.8,21.0,68
2021,2,16,0.0,29.8,20.5,73
2021,2,17,0.0,29.4,22.6,71
2021,2,18,0.0,28.2,19.4,60
2021,2,19,0.0,29.6,15.0,58
2021,2,20,0.0,28.3,16.8,60
2021,2,21,0.0,28.4,18.6,66
2021,2,22,0.0,29.5,21.4,72
2021,2,23,0.0,30.8,24.0,79
2021,2,24,0.0,31.6,25.4,73
2021,2,25,0.0,31.2,23.3,81
2021,2,26,0.0,30.0,24.4,81
2021,2,27,0.0,30.5,22.9,79
2021,2,28,0.0,32.6,23.6,72
2021,3,1,0.0,30.8,23.7,80
2021,3,2,0.0,30.5,24.8,78
2021,3,3,0.0,32.9,23.9,66
2021,3,4,0.0,30.8,22.8,76
2021,3,5,0.0,31.0,23.4,80
2021,3,6,0.0,29.9,22.5,81
2021,3,7,0.0,32.6,22.1,69
2021,3,8,0.0,31.8,21.6,72
2021,3,9,0.0,33.2,21.3,64
2021,3,10,0.0,33.0,22.4,58
2021,3,11,0.0,33.2,21.2,60
2021,3,12,0.0,33.6,21.9,58
2021,3,13,0.0,35.4,22.8,54
2021,3,14,0.0,34.1,22.8,56
2021,3,15,-1.0,32.8,26.0,68
2021,3,16,1.2,31.0,24.1,81
2021,3,17,-1.0,31.8,24.5,79
2021,3,18,0.0,33.2,25.3,75
2021,3,19,0.0,32.6,25.6,76
2021,3,20,0.0,31.4,26.1,76
2021,3,21,0.0,31.8,26.6,72
2021,3,22,0.0,32.2,24.8,64
2021,3,23,0.0,33.6,23.3,56
2021,3,24,0.0,32.0,24.4,67
2021,3,25,0.0,32.0,22.9,73
2021,3,26,0.0,31.5,23.2,70
2021,3,27,0.0,31.5,23.8,76
2021,3,28,0.0,31.6,22.9,78
2021,3,29,0.0,30.6,22.9,80
2021,3,30,0.0,30.8,22.4,75
2021,3,31,0.0,32.4,24.2,75
2021,4,1,0.0,31.2,24.1,81
2021,4,2,0.0,32.0,24.0,80
2021,4,3,0.0,31.5,24.1,77
2021,4,4,0.0,32.6,24.2,76
2021,4,5,0.0,35.0,24.4,64
2021,4,6,0.0,32.8,21.9,62
2021,4,7,0.0,33.0,23.0,63
2021,4,8,0.0,31.8,23.1,64
2021,4,9,0.0,32.8,23.4,62
2021,4,10,0.0,33.2,22.8,58
2021,4,11,0.0,34.0,22.4,59
2021,4,12,0.0,32.0,22.6,66
2021,4,13,0.0,32.2,24.9,73
2021,4,14,0.0,32.0,25.3,74
2021,4,15,0.0,32.2,23.3,77
2021,4,16,0.0,32.6,24.2,71
2021,4,17,0.0,33.7,23.4,59
2021,4,18,0.0,33.0,23.9,59
2021,4,19,0.0,32.0,24.3,59
2021,4,20,0.0,32.2,25.0,69
2021,4,21,-1.0,29.2,25.6,82
2021,4,22,0.0,29.5,22.9,84
2021,4,23,0.0,29.6,22.0,77
2021,4,24,0.0,30.1,20.9,75
2021,4,25,0.0,31.0,23.2,69
2021,4,26,0.0,33.0,24.1,63
2021,4,27,0.0,32.1,22.9,73
2021,4,28,0.0,31.3,23.1,74
2021,4,29,0.0,31.3,22.1,75
2021,4,30,0.0,31.6,22.5,73
2021,5,1,0.0,31.7,24.8,73
2021,5,2,0.0,32.4,25.2,72
2021,5,3,0.0,32.6,24.8,77
2021,5,4,0.0,33.0,25.0,75
2021,5,5,0.0,32.4,25.7,80
2021,5,6,0.0,32.8,25.1,77
2021,5,7,0.0,33.4,27.0,75
2021,5,8,0.0,33.2,26.1,74
2021,5,9,0.0,33.4,26.0,73
2021,5,10,0.0,33.3,25.8,76
