YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2020,1,1,0.0,32.2,21.0,67
2020,1,2,0.0,33.4,18.2,65
2020,1,3,0.0,30.6,17.7,69
2020,1,4,0.0,31.0,21.1,72
2020,1,5,0.0,31.4,19.6,61
2020,1,6,0.0,30.6,19.6,71
2020,1,7,0.0,29.6,21.8,78
2020,1,8,0.0,32.0,19.8,73
2020,1,9,0.0,32.4,20.4,73
2020,1,10,0.0,32.0,22.2,74
2020,1,11,-1.0,30.9,23.9,79
2020,1,12,-1.0,28.0,21.5,72
2020,1,13,0.0,27.4,18.2,75
2020,1,14,0.0,31.0,19.1,72
2020,1,15,0.0,32.6,19.6,66
2020,1,16,0.0,30.0,20.4,78
2020,1,17,0.0,28.0,21.4,75
2020,1,18,0.0,30.2,20.7,75
2020,1,19,0.0,30.2,19.4,77
2020,1,20,0.0,30.8,18.7,74
2020,1,21,0.0,29.8,18.4,77
2020,1,22,0.0,29.2,19.8,78
2020,1,23,0.0,28.8,19.2,82
2020,1,24,0.0,31.4,21.4,74
2020,1,25,1.0,29.0,23.6,87
2020,1,26,7.2,29.3,21.0,84
2020,1,27,0.0,28.3,19.4,79
2020,1,28,0.0,28.2,21.0,77
2020,1,29,-1.0,28.1,22.4,74
2020,1,30,-1.0,26.0,17.0,73
2020,1,31,0.0,28.8,18.0,68
2020,2,1,0.0,28.6,17.3,69
2020,2,2,0.0,29.6,16.9,67
2020,2,3,0.0,29.2,16.8,69
2020,2,4,0.0,28.4,16.6,72
2020,2,5,0.0,29.6,19.7,71
2020,2,6,0.0,33.2,21.7,64
2020,2,7,0.0,30.2,24.8,75
2020,2,8,0.0,31.4,23.5,62
2020,2,9,0.0,31.4,18.4,59
2020,2,10,0.0,31.2,18.3,58
2020,2,11,0.0,30.8,19.2,71
2020,2,12,0.0,29.0,19.8,77
2020,2,13,0.0,29.4,20.3,80
2020,2,14,0.0,30.2,20.3,81
2020,2,15,0.0,29.2,22.0,81
2020,2,16,0.0,30.0,23.8,76
2020,2,17,0.0,29.6,22.6,66
2020,2,18,0.0,29.2,19.3,58
2020,2,19,0.0,30.6,15.8,59
2020,2,20,0.0,30.9,17.1,57
2020,2,21,0.0,32.4,17.0,61
2020,2,22,0.0,32.4,16.5,54
2020,2,23,0.0,30.0,22.6,67
2020,2,24,0.0,32.8,21.8,69
2020,2,25,0.0,30.4,20.3,80
2020,2,26,0.0,30.6,21.3,76
2020,2,27,0.0,32.0,20.1,61
2020,2,28,0.0,31.5,20.4,64
2020,2,29,0.0,29.6,21.0,75
2020,3,1,0.0,29.8,19.6,77
2020,3,2,0.0,31.8,21.2,67
2020,3,3,0.0,31.4,21.2,68
2020,3,4,0.0,30.0,21.6,77
2020,3,5,0.0,31.4,21.2,73
2020,3,6,0.0,32.2,22.9,70
2020,3,7,0.0,30.4,22.5,79
